image_path,url,label
images_val\phishing\annstringer.com-9d413698ae289df9.png,http://annstringer.com/storagechecker/domain/index.php?.randu0013inboxlight.aspx?n,phishing
images_val\legitimate\www.guardian.co.uk-b5c272a6a46bbf3f.png,https://www.guardian.co.uk/media/2010/oct/25/cheryl-cole-piers-morgan-ratings,legitimate
images_val\legitimate\www.wn.com-baa67ddb254c7e90.png,https://www.wn.com/Canadian_national_men's_basketball_team,legitimate
images_val\phishing\indonesianherbal.com-e388f919d0619ce9.png,http://indonesianherbal.com/inc,phishing
images_val\legitimate\www.xing.com-3afa27581b80a985.png,https://www.xing.com/profile/Eugen_Beck2,legitimate
images_val\legitimate\www.amazon.com-822d28efd091db93.png,https://www.amazon.com/Eternal-Sunshine-Spotless-Mind-Widescreen/dp/B00005JMJG,legitimate
images_val\legitimate\www.myspace.com-932791aeb66a6898.png,https://www.myspace.com/jessgreer2000,legitimate
images_val\phishing\www.yoto.co.za-b88a9b9a363f25b1.png,http://www.yoto.co.za/webnet/recovery.htm,phishing
images_val\legitimate\www.wellness.com-93c5577b2a68376f.png,https://www.wellness.com/dir/2172912/dentist/il/elk-grove-village/mcshane-james-b-dds,legitimate
images_val\legitimate\www.eriku.com-621617349d86bc06.png,https://www.eriku.com/documents/bio.html,legitimate
images_val\legitimate\www.hypebeast.com-83f77ab4af29ca24.png,https://www.hypebeast.com/2008/06/puma-sky-low-ii/,legitimate
images_val\legitimate\www.premiumsteap.com-09ffa69b74d49407.png,https://www.premiumsteap.com/,legitimate
images_val\legitimate\www.answers.com-55a359b8f213a13d.png,https://www.answers.com/topic/walt-disney-home-entertainment,legitimate
images_val\phishing\netorg4219258-my.sharepoint.com-c2fe272940d91373.png,https://netorg4219258-my.sharepoint.com/personal/peter_baumanglobal_com/_layouts/15/onedrive.aspx?id=/personal/peter_baumanglobal_com/Documents/empire/New%20message.pdf&amp;parent=/personal/peter_baumanglobal_com/Documents/empire&amp;slrid=643a9b9e-9085-0000-1ba2-ffe3503e137e,phishing
images_val\phishing\www.bridgemanagement.com-6bdf652ec05cde13.png,http://www.bridgemanagement.com/pdn/login.onedrivemicfosoftonline.net/f280eec67d27696b21e7d824061a4489/login.php?cmd=login_submit,phishing
images_val\phishing\www.ysgrp.com.cn-7edcfaa7b0e6b6d4.png,http://www.ysgrp.com.cn/js?us.battle.net/login/en/?ref=us.battle.net,phishing
images_val\phishing\lafirmalegal.com-e13723a0e2600c22.png,http://lafirmalegal.com/www.cic.fr-login-secure/b40969e930cc177fda95cac673acb62d/lb.php?id=13698&amp,phishing
images_val\legitimate\www.cylex.ca-e13bf12e11dd39b8.png,https://www.cylex.ca/montreal/university.html,legitimate
images_val\legitimate\www.sheetmusicplus.com-db0a44415cf6ebd7.png,https://www.sheetmusicplus.com/s?q=Jacques-Francois_Ibert,legitimate
images_val\legitimate\www.wellness.com-91dda1d203a9114e.png,https://www.wellness.com/dir/2198250/cosmetic-surgeon/md/baltimore/bernard-chang-plastic--reconstructive-md,legitimate
images_val\phishing\sites.google.com-d01e8d15e0789391.png,https://sites.google.com/view/oneclickhelprecover/,phishing
images_val\phishing\itauclientesms.rf.gd-745b80075dfde86a.png,http://itauclientesms.rf.gd/?i=1204891,phishing
images_val\legitimate\www.ehow.com-d262456965003a4e.png,https://www.ehow.com/list_7589707_1979-ford-f150-specs.html,legitimate
images_val\legitimate\www.prohealth.com-69ef8a8cfd7a172d.png,https://www.prohealth.com/me-cfs/blog/boardDetail.cfm?id=1329924,legitimate
images_val\legitimate\www.facebook.com-de744dcf74c54f38.png,https://www.facebook.com/deleonwalt,legitimate
images_val\phishing\firstclasstransfers.com.au-e54ceb88cf6bfd82.png,http://firstclasstransfers.com.au/alibaba/post1.php?.rand=13vqcr8bp0gud&amp;cbcxt=mai&amp;email=abuse@fmc.com&amp;id=64855&amp;lc=1033&amp;mkt=en-us&amp;snsc=1,phishing
images_val\legitimate\www.alumniclass.com-e1e10fe7f5193f23.png,https://www.alumniclass.com/centralkcmo,legitimate
images_val\legitimate\www.facebook.com-983b674cef34a10a.png,https://www.facebook.com/william.d.white1,legitimate
images_val\legitimate\www.amazon.com-6890a45cf789e45a.png,https://www.amazon.com/Theories-Personality-Calvin-S-Hall/dp/0471037559,legitimate
images_val\phishing\lacajaverde.com-5399ddf01581556c.png,http://lacajaverde.com/wp-includes/googledocs/login.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&userid_JeHJOXK0IDw_JOXK0IDD&userid=,phishing
images_val\phishing\kydiver.com-d0501095c0cdf0f3.png,http://kydiver.com/yah/yah-stan/yahoomail/Tonero.php,phishing
images_val\legitimate\www.facebook.com-e3bd037b969943aa.png,https://www.facebook.com/impactmontreal,legitimate
images_val\legitimate\www.baseball-reference.com-31f9844b23fd7828.png,https://www.baseball-reference.com/teams/MON/1987.shtml,legitimate
images_val\phishing\kiinteistotili.fi-4e6a4e2ab6e59c1f.png,http://kiinteistotili.fi/bin/ourtime/v3/login.php?CPSessionID=650064af-b1bc-4e6a-b94d-caffc826ca21&amp;VisitorID=6978805059,phishing
images_val\legitimate\www.transitchicago.com-41839c4748813d64.png,https://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=257,legitimate
images_val\legitimate\www.cylex.ca-d3e259f497f8f1e6.png,https://www.cylex.ca/montreal/high%20school.html,legitimate
images_val\legitimate\www.whosdatedwho.com-0bb303aaed4faa21.png,https://www.whosdatedwho.com/tpx_32287/jo-van-fleet/,legitimate
images_val\phishing\camdenhill.com-5aa1770973a91b8e.png,http://camdenhill.com/googledrive/index.html,phishing
images_val\legitimate\www.wicycling.org-0486011c26a71f2d.png,https://www.wicycling.org/index.php?option=com_content&view=article&id=302:spring-prairie-state-road-race-championships&catid=26:road-results&Itemid=72,legitimate
images_val\phishing\peaumontreal.com-07667ac9d8106369.png,http://peaumontreal.com/huds/index.php,phishing
images_val\legitimate\www.facebook.com-33fa1d6d4cc5d60b.png,https://www.facebook.com/pages/Xtreme-Drift-Circuit/181278396596?sk=wall,legitimate
images_val\legitimate\www.nbcconnecticut.com-b3997025ec9cab66.png,https://www.nbcconnecticut.com/news/local/Nurse-Betty-Plays-Pretend-52626832.html,legitimate
images_val\legitimate\www.lead411.com-39b815ca37c682b3.png,https://www.lead411.com/Barbara_Bennett_3143839.html,legitimate
images_val\legitimate\www.indeed.com-147c0076a9b39a4b.png,https://www.indeed.com/q-Monmouth-Medical-Center-jobs.html,legitimate
images_val\legitimate\www.facebook.com-a3699c5e426b02b0.png,https://www.facebook.com/people/Henry-Button/100000286300558,legitimate
images_val\phishing\sites.google.com-91ca5ddb52625818.png,https://sites.google.com/site/recoeveryhelp122/,phishing
images_val\legitimate\www.baseballamerica.com-c3068d0f0d4d95d1.png,https://www.baseballamerica.com/today/teams/athletics.html,legitimate
