image_path,url,label
images_test\legitimate\www.facebook.com-e3ec87447d309e79.png,https://www.facebook.com/CFox23,legitimate
images_test\legitimate\www.mylife.com-08baaedec42222ae.png,https://www.mylife.com/c-514252451,legitimate
images_test\phishing\fr-35f8d3dfbc8212dfd.getsmartling.com-4407e9e6e70c8c49.png,https://fr-35f8d3dfbc8212dfd.getsmartling.com/signin,phishing
images_test\phishing\mockup.asia-ccdc8d54ffc8ca72.png,http://mockup.asia/x5ief,phishing
images_test\phishing\storage.googleapis.com-c72b2f1a7e6c2190.png,https://storage.googleapis.com/nflbb/re.htm,phishing
images_test\legitimate\www.linkedin.com-0f340bb9e0ef4431.png,https://www.linkedin.com/pub/jean-pierre-lebeau/4/A69/867,legitimate
images_test\phishing\buzzybiz.com-b4f01853e89d026e.png,http://buzzybiz.com/wp-content,phishing
images_test\legitimate\www.huffingtonpost.com-74a48dce7d85fed3.png,https://www.huffingtonpost.com/dr-tukufu-zuberi,legitimate
images_test\phishing\fb-liker-auto-liker.en.uptodown.com-e39335245dc460a6.png,https://fb-liker-auto-liker.en.uptodown.com,phishing
images_test\phishing\twitter.com-0cd9b67f719fd349.png,http://twitter.com/LuD0UiK,phishing
images_test\legitimate\www.scribd.com-30e181db43f97cf3.png,https://www.scribd.com/doc/20177596/San-Francisco-History-Chapter,legitimate
images_test\phishing\www.tenutasanmauro.com-f7d93250f343e009.png,http://www.tenutasanmauro.com/?ID=login&amp,phishing
images_test\legitimate\www.theglobeandmail.com-b99c396d98520a32.png,https://www.theglobeandmail.com/globe-investor/investment-ideas/streetwise/ogilvy-renault-deepens-mining-team/article1567248/,legitimate
images_test\legitimate\www.covingtonsavingsandloan.com-87fc7828d4248c9e.png,https://www.covingtonsavingsandloan.com/,legitimate
images_test\legitimate\www.canada.com-4b54ef0b79df69ef.png,https://www.canada.com/story_print.html?id=3df00cd6-a618-4b15-a330-243d899aea01&sponsor=,legitimate
images_test\phishing\64835108.net-52ee930d0013ab1c.png,http://64835108.net/images/?us.battle.net/login/en/ref=us.battle.net/d3/en/index,phishing
images_test\phishing\365edu.ulcraft.com-13003b4b9a57b824.png,http://365edu.ulcraft.com/,phishing
images_test\legitimate\www.facebook.com-5d7e2f5d94075bb5.png,https://www.facebook.com/pages/Norman-Oklahoma/107945712561674,legitimate
images_test\legitimate\www.ebay.com-5da87989c532683d.png,https://www.ebay.com/ctg/Black-Mafia-Steady-Mobbn-CD-Nov-1998-Priority-/3286911,legitimate
images_test\legitimate\www.chennaimatrimony.com-c744be288b4e2b8b.png,https://www.chennaimatrimony.com/,legitimate
images_test\legitimate\www.lewisfamilyplayhouse.com-de8c409bf6103c11.png,https://www.lewisfamilyplayhouse.com/brochures/mainstreet.php,legitimate
images_test\phishing\www.higginsinsulation.com.au-cf27a93305a61c0f.png,http://www.higginsinsulation.com.au/downloader/Maged/Model/Config/fr/f...,phishing
images_test\legitimate\www.sunworld.com.tw-c1c26f82118754ff.png,https://www.sunworld.com.tw/,legitimate
images_test\legitimate\www.rottentomatoes.com-1b9ac6be121e880e.png,https://www.rottentomatoes.com/m/session_9/,legitimate
images_test\legitimate\www.linkedin.com-8c93128e40b02a74.png,https://www.linkedin.com/in/ebenjoseph,legitimate
images_test\legitimate\www.linkedin.com-1755d1d7dbb67cf8.png,https://www.linkedin.com/pub/andy-chou/0/88/149,legitimate
images_test\legitimate\www.fotosearch.com-da7d831ee2ff6312.png,https://www.fotosearch.com/UNT326/u16163888/,legitimate
images_test\legitimate\www.ticketloot.com-a590bb4698ed4378.png,https://www.ticketloot.com/house-of-blues---chicago-tickets,legitimate
images_test\phishing\frantoicelletti.com-8d0447604730fbad.png,http://frantoicelletti.com/include/?cliente=asd,phishing
images_test\legitimate\www.houseofnames.com-2e86cd08e35b51e9.png,https://www.houseofnames.com/fc.asp?sId=&s=Mallette,legitimate
images_test\phishing\www.bzmotors.com.my-b6d0e0d1d8025e31.png,http://www.bzmotors.com.my/photogallery/photo9858/index.htm,phishing
images_test\phishing\brahaemy.ro-853ae5e9a75f9953.png,http://brahaemy.ro/xmlrpc/h/hero/yeah.net/yeah.net.php?errorType=401&error&email=,phishing
